Angle,D12,D34,D56,D78
0,9.70262390670554,6.8607911597342,0,-6.8607911597342
22.5,8.96405563905995,3.71303341956565,-3.71303341956565,-8.96405563905995
45,6.8607911597342,0,-6.8607911597342,-9.70262390670554
67.5,3.71303341956565,-3.71303341956565,-8.96405563905995,-8.96405563905995
90,0,-6.8607911597342,-9.70262390670554,-6.8607911597342
112.5,-3.71303341956565,-8.96405563905995,-8.96405563905995,-3.71303341956565
135,-6.8607911597342,-9.70262390670554,-6.8607911597342,0
157.5,-8.96405563905995,-8.96405563905995,-3.71303341956565,3.71303341956565
180,-9.70262390670554,-6.8607911597342,0,6.8607911597342
202.5,-8.96405563905995,-3.71303341956565,3.71303341956565,8.96405563905995
225,-6.8607911597342,0,6.8607911597342,9.70262390670554
247.5,-3.71303341956565,3.71303341956565,8.96405563905995,8.96405563905995
270,0,6.8607911597342,9.70262390670554,6.8607911597342
292.5,3.71303341956565,8.96405563905995,8.96405563905995,3.71303341956565
315,6.8607911597342,9.70262390670554,6.8607911597342,0
337.5,8.96405563905995,8.96405563905995,3.71303341956565,-3.71303341956565
